"Sdlg","ht_wm.cm","ShrubSpp03","Cov1.3","Ht1.3","Light_File","DIFN.all","FirePatch","Species","ref","Date","LAI.53","DIFN.53"
"265",77.1171171171171,"CECO",1110,77.1171171171171,243,0.134,"AMRC-3","ABCO",0,"20160721 06:12:08",2.84,0.15
"27",193.559322033898,"CEIN",1180,193.559322033898,255,0.208,"FRDS-A","PIPO",0,"20160728 05:51:09",2.15,0.243
"275",29.7142857142857,"CEPR",1050,29.7142857142857,252,0.615,"CLVD-N","ABCO",0,"20160727 06:13:51",0.54,0.699
"276",98.1318681318681,"ARPA",910,98.1318681318681,244,0.315,"CLVD-N","ABCO",0,"20160727 05:30:38",1.66,0.339
"277",107.739130434783,"ARPA",1150,107.739130434783,245,0.701,"CLVD-N","PIPO",0,"20160727 05:38:09",0.36,0.804
"278",114.634146341463,"ARPA",820,114.634146341463,246,0.734,"CLVD-N","PIPO",0,"20160727 05:42:01",0.31,0.813
"279",140.775862068966,"ARPA",1160,140.775862068966,247,0.342,"CLVD-N","PIPO",0,"20160727 05:45:56",1.53,0.369
"28",87.7884615384615,"CECO",1040,87.7884615384615,0,0,"AMRC-A","ABCO",0,NA,NA,NA
"280",117.81512605042,"ARPA",1190,117.81512605042,248,0.377,"CLVD-N","PIPO",0,"20160727 05:50:19",1.4,0.399
"281",111.739130434783,"ARPA",920,111.739130434783,249,0.182,"CLVD-N","ABCO",0,"20160727 05:54:53",2.58,0.195
"282",108.018018018018,"ARPA",1110,108.018018018018,250,0.35,"CLVD-N","ABCO",0,"20160727 06:03:40",1.38,0.409
"283",89.1509433962264,"CECO",1060,89.1509433962264,251,0.229,"CLVD-N","ABCO",0,"20160727 06:07:33",2.02,0.261
"284",120.714285714286,"ARPA",1120,120.714285714286,253,0.351,"CLVD-N","ABCO",0,"20160727 06:20:38",1.36,0.409
"285",98.9175257731959,"ARPA",970,98.9175257731959,0,0,"CLVD-N","PIPO",0,NA,NA,NA
"286",195.333333333333,"CEIN",450,195.333333333333,256,0.572,"FRDS-mid","PIPO",0,"20160728 06:05:44",0.73,0.617
"287",195.333333333333,"CEIN",450,195.333333333333,257,0.602,"FRDS-mid","PIPO",0,"20160728 06:08:20",0.62,0.662
"288",156.346153846154,"CEIN",520,156.346153846154,258,0.828,"FRDS-mid","PIPO",0,"20160728 06:10:36",0.21,0.87
"289",156.129032258065,"CEIN",310,156.129032258065,0,0,"FRDS-mid","PIPO",0,NA,NA,NA
"290",165.526315789474,"CEIN",380,165.526315789474,261,0.889,"FRDS-mid","PIPO",0,"20160728 06:21:50",0.07,0.956
"291",204.905660377358,"CEIN",1060,204.905660377358,262,0.121,"FRDS-mid","PIPO",0,"20160728 06:38:28",2.92,0.142
"292",147.6,"CEIN",500,147.6,263,0.643,"FRDS-mid","PIPO",0,"20160728 06:45:35",0.51,0.731
"293",190,"CEIN",640,190,264,0.166,"FRDS-mid","PIPO",0,"20160728 06:52:46",2.63,0.176
"294",90,"CECO",40,90,265,0.398,"FRDS-mid","PIPO",0,"20160728 07:00:53",1.22,0.45
"36",23.5714285714286,"LIDE",140,23.5714285714286,31,0,"AMRC-NW","PIPO",0,"20160622 05:08:28",0,0
"38",56.6666666666667,"LIDE",150,56.6666666666667,33,0.86,"AMRC-NW","PIPO",0,"20160622 05:12:37",0.1,0.936
"39",97.2,"LIDE",250,97.2,34,0.714,"AMRC-NW","PIPO",0,"20160622 05:14:35",0.42,0.765
"4",115.51724137931,"ARPA",1450,115.51724137931,18,0.366,"CLVD-N","PIPO",0,"20160610 05:06:53",1.53,0.37
"40",85.6603773584906,"LIDE",530,85.6603773584906,35,0.708,"AMRC-NW","PIPO",0,"20160622 05:16:30",0.43,0.756
"41",64.1379310344828,"LIDE",580,64.1379310344828,36,0.369,"AMRC-NW","PIPO",0,"20160622 05:18:30",1.4,0.446
"42",72.1428571428571,"LIDE",840,72.1428571428571,37,0.093,"AMRC-NW","PIPO",0,"20160622 05:20:30",3.4,0.106
"43",77.6923076923077,"LIDE",260,77.6923076923077,38,0.559,"AMRC-NW","PIPO",0,"20160622 05:23:41",0.8,0.624
"44",48.6111111111111,"LIDE",360,48.6111111111111,39,0.871,"AMRC-NW","PIPO",0,"20160622 05:26:26",0.15,0.903
"46",45.2380952380952,"ARPA",420,45.2380952380952,41,0.801,"AMRC-NW","ABCO",0,"20160622 05:31:33",0.23,0.865
"48",43.8888888888889,"LIDE",270,43.8888888888889,43,0.841,"AMRC-NW","ABCO",0,"20160622 05:35:00",0.22,0.867
"5",89.5408163265306,"ARPA",980,89.5408163265306,21,0.406,"CLVD-N","PIPO",0,"20160610 05:22:51",1.28,0.423
"51",41.3131313131313,"CHSE",990,41.3131313131313,195,0.042,"AMRC-NE","ABCO",0,"20160720 05:29:22",0.78,0.607
"52",48.2795698924731,"CHSE",930,48.2795698924731,196,0.28,"AMRC-NE","ABCO",0,"20160720 05:31:57",1.8,0.32
"53",51.7647058823529,"CHSE",1020,51.7647058823529,197,0.154,"AMRC-NE","ABCO",0,"20160720 05:35:20",2.69,0.173
"54",50.6818181818182,"CHSE",880,50.6818181818182,198,0.32,"AMRC-NE","ABCO",0,"20160720 05:38:01",1.59,0.349
"55",50.6818181818182,"CHSE",880,50.6818181818182,199,0.337,"AMRC-NE","ABCO",0,"20160720 05:40:08",1.57,0.35
"56",48.3950617283951,"CHSE",810,48.3950617283951,200,0.248,"AMRC-NE","ABCO",0,"20160720 05:42:15",1.99,0.269
"57",41.5625,"CHSE",960,41.5625,201,0.234,"AMRC-NE","ABCO",0,"20160720 05:44:30",2.07,0.26
"58",48.4782608695652,"CHSE",920,48.4782608695652,202,0.149,"AMRC-NE","ABCO",0,"20160720 05:46:46",2.78,0.167
"6",125.466101694915,"ARPA",1180,125.466101694915,16,0.296,"CLVD-N","ABCO",0,"20160531 20:32:01",1.67,0.331
