Sdlg	Species	Fire	FirePatch	Ht2017.cm.fall	Elevation	Nearby_Easting	Nearby_Northing	Slope.Deg	Aspect.deg	BasDia2016.cm	Datasheet1_2016	Date1_2016	Date2_2016	personel2	personel1	ShrubSpp03	Cov1.3	Ht1.3	Years	DataSheet2017	BasDia2017.mm.1	BasDia2017.mm.2	siteclass	Y	X	incidrad	heatload	Year	VertGrowth_cm	Ht_cm1	FireYear	Ht_cm2
105	ABCO	AMRC	AMRC-2	32	1701	739372	4298304	15	290	0.58	Data_Sheet_AMCR_2_JUN23_2	6/23/2016	9/9/9999	0	CT vf	CECO	1190	77.56302521	9	Shrubs_Summer17_AMRC_2_Sep12	6.2	5.9	4	39.21972962	-120.6195542	0.868906799	0.964296036	2017	5.7	26.3	2008	32
108	PIPO	CLVD	CLVD-SE	207	1402	739372	4298304	21	142	5.85	Data_Sheet_CLVD_SE_JUN24_2	6/24/2016	9/9/9999	0	CT vf hh	ARPA	1180	213.3898305	25	Shrubs_Summer17_Aug31_1426_done	60.3	57.3	4	38.78162563	-120.3917242	1.019152454	0.904087616	2017	8.2	198.8	1992	207
109	PIPO	CLVD	CLVD-SE	115	1402	739372	4298304	21	124	2.65	Data_Sheet_CLVD_SE_JUN24_2	6/24/2016	9/9/9999	0	CT vf hh	ARPA	810	173.8271605	25	Shrubs_Summer17_Aug31_1426_done	27.2	26.3	4	38.78146156	-120.3913266	0.97962949	0.850079148	2017	8.8	106.2	1992	115
110	PIPO	CLVD	CLVD-SE	335	1402	739372	4298304	21	124	6.65	Data_Sheet_CLVD_SE_JUN24_2	6/24/2016	9/9/9999	0	CT vf hh	ARPA	1180	184.7457627	25	Shrubs_Summer17_Aug31_1426_done	92	92	4	38.78152754	-120.3912129	0.979628883	0.850078541	2017	45	290	1992	335
112	ABCO	WRTS	WRTS-1	201	2112	738851	4298772	13	70	6.5	Data_Sheet_WRTS_1_JUN_26_2	6/26/2016	9/9/9999	0	CT	CECO	830	53.85542169	36	Shrubs_Summer17_Wrights_KindleFire_Sep5	66.8	73.9	3	38.79718356	-120.2449053	0.887880481	0.826696799	2017	20.4	180.6	1981	201
113	ABCO	WRTS	WRTS-1	146	2112	738851	4298772	16	100	5.35	Data_Sheet_WRTS_1_JUN_26_2	6/26/2016	9/9/9999	0	CT	CECO	1240	68.9516129	36	Shrubs_Summer17_Wrights_KindleFire_Sep5	50.9	55.9	3	38.79683414	-120.2446695	0.933558776	0.834284602	2017	13	133	1981	146
115	ABCO	WRTS	WRTS-1	122	2112	738851	4298772	10	270	2.1	Data_Sheet_WRTS_1_JUN_26_2	6/26/2016	9/9/9999	0	CT	CECO	1190	115.5462185	36	Shrubs_Summer17_Wrights_KindleFire_Sep5	27.5	22	3	38.79694158	-120.2445362	0.937839983	0.997023705	2017	11.5	110.5	1981	122
116	PIPO	WRTS	WRTS-1	220	2112	738851	4298772	23	60	8.24	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	CECO	520	66.53846154	36	paper in maroon binder	92	92	3	38.79708341	-120.2444287	0.776519749	0.688770818	2017	15.6	204.4	1981	220
117	ABCO	WRTS	WRTS-1	143	2112	738851	4298772	23	60	3.85	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	CECO	1170	90.76923077	36	paper in maroon binder	42.2	40	3	38.7971006	-120.2444696	0.776519592	0.688770661	2017	12.7	130.3	1981	143
118	ABCO	WRTS	WRTS-1	120	2112	738851	4298772	23	60	3.16	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	CECO	1170	90.76923077	36	paper in maroon binder	32	32.8	3	38.7971006	-120.2444696	0.776519592	0.688770661	2017	9.1	110.9	1981	120
119	ABCO	WRTS	WRTS-1	135	2112	738851	4298772	23	60	4.89	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	PREM	680	83.38235294	36	paper in maroon binder	56.2	56.6	3	38.79708341	-120.2444287	0.776519749	0.688770818	2017	9.8	125.2	1981	135
120	ABCO	WRTS	WRTS-1	111	2112	738851	4298772	23	60	2.76	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	PREM	1190	125.8823529	36	paper in maroon binder	30.8	28.8	3	38.79708341	-120.2444287	0.776519749	0.688770818	2017	6.7	104.3	1981	111
121	PIPO	WRTS	WRTS-1	175	2112	738851	4298772	23	60	3.85	Data_Sheet_WRTS_1_JUN_29	6/29/2016	9/9/9999	0	CT VF	CECO	1370	110.1459854	36	paper in maroon binder	40.3	40.8	3	38.79708341	-120.2444287	0.776519749	0.688770818	2017	5.4	169.6	1981	175
122	ABCO	WRTS	WRTS-1	111	2112	738851	4298772	21	79	2.32	Data_Sheet_WRTS_1_JUN_29_4	6/29/2016	9/9/9999	0	CT VF	CECO	1290	86.58914729	36	paper in maroon binder	23.6	21	6	38.79740254	-120.2440543	0.849932439	0.739689078	2017	5.8	105.2	1981	111
124	ABCO	WRTS	WRTS-1	91	2112	738851	4298772	18	60	1.83	Data_Sheet_WRTS_1_JUN_29_4	6/29/2016	9/9/9999	0	CT VF	CECO	1190	90.67226891	36	Shrubs_Summer17_Wrights_KindleFire_Sep5	18.3	18.6	3	38.7983899	-120.2443643	0.825475157	0.75607728	2017	5.5	85.5	1981	91
286	PIPO	FRDS	FRDS-mid	78	1638	0	0	5	166	1.77	Data_Sheet_FRDS_MID_JUL_27_2016	7/27/2016	9/9/9999	0	VF HH	CEIN	450	195.3333333	13	Shrubs_Summer17_Freds_KindleFire_Sep5_done	20.3	21.8	4	38.78755404	-120.2998363	0.996478539	0.97735359	2017	12.6	65.4	2004	78
287	PIPO	FRDS	FRDS-mid	70	1638	0	0	5	166	1.87	Data_Sheet_FRDS_MID_JUL_27_2016	7/27/2016	9/9/9999	0	VF HH	CEIN	450	195.3333333	13	Shrubs_Summer17_Freds_KindleFire_Sep5_done	16.3	17.3	4	38.78755404	-120.2998363	0.996478539	0.97735359	2017	4.7	65.3	2004	70
